mz	intensity	Unique Pep
927.42688	351214.59	0
960.48914	43136.473	1
1000.5089	8059.7808	0
1017.4791	7417.3696	0
1149.5071	178625.59	0
1311.6715	44945.758	0
1342.5416	68611.109	1
1358.5232	15548.149	1
1511.756	18807.018	0
1623.7393	67182.563	1
1639.8634	371937.72	1
1742.8091	10345.405	1
2045.0186	84222.5	1
